recipeID,recipeName,recipeType,recipeMaterialId,recipeMaterial,recipeCount,recipePrepartion,recipeCooking,recipeDescription
226,Puf Puf: Yumuşacık Pastane Poğaçası,POĞAÇA TARİFLERİ,"['99', '100', '123', '176', '23', '9', '144', '185', '57']","['un', 'yaş maya', 'şeker', 'sıvı yağ', 'süt', 'yumurta (1 yumurta sarısı ayrılacak)', 'su', 'tuz', 'susam ve çörek otu karışımı']",8 kişilik,25 dakika,25 dakika,"Ilık suda mayayı eritin. Üzerine toz şeker ekleyip karıştırın ve 15 dakika bekletin.Yoğurma kabına süt, sıvı yağ, yumurta ve tuzu alın ve karıştırın.Eriyen mayayı yoğurma kabının içerisine alın.Unu yavaş yavaş ilave ederek yoğurmaya başlayın. Hamur ele yapışmayacak kıvama gelene kadar yoğurun.Yoğurulan hamurun üzerini kapatın ve 30 dakika mayalanmaya bırakın.Mayalanan hamurdan eşit yuvarlak bezeler hazırlayın ve elinizde ortadan bastırıp dilediğiniz malzemeyi ortasına yerleştirip kapatın.Fırın tepsisine dizdiğiniz poğaçaların üzerine yumurta sarısı sürün.Arzuya göre susam ve çörek otu serpiştirdiğiniz poğaçaları 180 derecede 25-30 dakika pişirin."
227,Her Evde Olmalı: Patatesli Börek,BÖREK TARİFLERİ,"['4', '185', '127', '195', '97', '24', '176', '185', '121', '144', '23']","['patates', 'tuz', 'karabiber', 'toz kırmızı biber', 'yufka', 'yoğurt', 'sıvı yağ', 'tuz', 'kabartma tozu', 'su', 'süt']",16 adet,25 dakika,30 dakika,"Patateslerin kabuklarını soyun ve güzelce yıkadıktan sonra bir kabın içerisine rendeleyin.Rendelenmiş olan patateslerin suyunu iki avucunuzun arasına alıp güzelce sıkın.Suyu sıkılmış olan patateslere baharatlarını ekleyin ve güzelce karıştırın, iç harcınız hazır.Sosu için gerekli olan malzemeleri derince bir kabın içerisinde güzelce karıştırın.Yufkayı tezgâha yayın ve her bir yufkayı 8’e bölün yufkaların üstünü bir fırça yardımıyla hazırladığınız sosla güzelce ıslatın.Üstüne patatesli harçtan serpin.Rulo şeklinde yuvarlayın ve kendi etrafında spiral şeklinde doladıktan sonra yağlı kağıt serdiğiniz bir fırın tepsisine dizin.Tüm yufkaları bu şekilde hazırladıktan sonra kalan sosun içerisine sütü ekleyip karıştırın ve yine bir fırça yardımı ile yufkaların üstüne sürün.Önceden ısıtılmış 180 derece fırında üstleri güzelce kızarana dek yaklaşık 30 dakika pişirin ve ardından ılık olarak servis edin. Afiyet olsun."
228,"Üzeri Çıtır, İçi Yumuşacık: Fırında Tavuk But",TAVUK TARİFLERİ,"['68', '3', '96', '1', '185', '183', '127', '48', '105', '24', '194', '3']","['tavuk budu', 'rendelenmiş soğan', 'sarımsak', 'domates salçası', 'tuz', 'pul biber', 'karabiber', 'kekik', 'kimyon', 'yoğurt', 'kırmızı kapya biber', 'soğan']",4 kişilik,15 dakika,35 dakika,"Marinasyonunu hazırlamak için 1 adet rendelenmiş soğan, 3 diş rendelenmiş sarımsak, 1 yemek kaşığı domates salçası, 1'er çay kaşığı tuz, pul biber, karabiber, kekik, kimyon ve 1 yemek kaşığı yoğurdu ekleyip güzelce karıştırın.Fırına vereceğiniz kabı yağlayın ve üzerine bıçakla çizik attığınız 3 adet tavuk budunu yerleştirin.Hazırladığınız tavuk marinasyonunu butların her yerine gelecek şekilde sürün.Birer adet soğan ve kırmızı kapya biberi de tavukların etrafına yerleştirin ve önceden ısıtılmış 200 derece fırında dışı iyice kızarıp, içi yumuşacık olana dek pişirin.Fırında tavuk budunuz hazır, afiyet olsun!"
230,Çayın Uzun Süreli Arkadaşı: Bayatlamayan Tuzlu Kurabiye,TUZLU KURABİYE TARİFLERİ,"['197', '9', '176', '54', '123', '185', '121', '99', '9', '57']","['margarin', 'yumurta', 'sıvı yağ', 'sirke', 'toz şeker', 'tuz', 'kabartma tozu', 'un', 'yumurta sarısı', 'çörek otu (arzuya göre susam)']",2 büyük tepsi,15 dakika,20 dakika,"Derin bir kabın içerisine margarin, yumurta, sirke, sıvı yağı alın ve mikser yardımıyla güzelce çırpın.Ardından kabartma tozu, tuz ve şekeri ekleyerek spatula yardımıyla güzelce karıştırın. Unu azar azar içerisine ilave ederek yoğurmaya başlayın. Kıvamına göre 3,5-4 su bardağı alacaktır.Ele yapışmayan bir hamur elde edin. Hamurdan parçalar alın ve rulo şekline getirin. Örgü şeklinde birbirlerine sararak şekil verin.Pişirme kağıdı serili fırın tepsisinin üzerine kurabiyelerinizi aktarın.Üzerine fırça yardımıyla yumurta sarısı sürün ve çörek otu serpin.180 derecede ısıtılmış fırında üzeri kızarana kadar yaklaşık 15-20 dakika kadar pişirin. Çıkarıp oda sıcaklığında dinlendirdikten sonra afiyetle tüketin."
231,Ekmek Banmalık: Patlıcan Yemeği,SEBZE TARİFLERİ,"['6', '3', '96', '185', '127', '196', '196', '1', '1', '39']","['patlıcan', 'soğan', 'sarımsak', 'tuz', 'karabiber', 'yeşil biber', 'kırmızı biber', 'domates', 'domates salçası', 'zeytinyağı']",4 kişilik,30 dakika,50 dakika,"Patlıcanları alacalı soyduktan sonra küp küp doğrayın ve tuzlu su dolu bir kaba alıp, acı sularının geçmesi için beklemeye alın.O sırada kuru soğanı ve sarımsakları ince ince doğrayın ve zeytinyağını aldığınız bir tencerede soğanlar pembeleşene dek kavurun.Soğanlar kavrulurken biberleri doğrayın ve pembeleşmiş soğanlara onları da ilave edip 4 dakika kadar daha kavurmaya devam edin.Salçayı ekleyip, kokusu çıkana dek kavurun ve ardından küp doğranmış domatesleri de ilave edip, karıştırarak pişirmeye devam edin.Son olarak süzüp, duruladığınız  patlıcanları ekleyin ve tuz-karabiber ilavesinden sonra, domatesleriniz yeterince sulu ise ekstra su ilavesine gerek olmayacaktır ancak su yetersiz gelirse 1 su bardağı kadar kaynar su ekleyebilirsiniz.Kaynamaya başladıktan sonra altını kısın ve patlıcanlar pişene dek kısık ateşte pişirin, yaklaşık 15 dakika.Sonra altını kapatın ve kapağı kapalı bir şekilde ılıklaşmasını bekleyin, ardından servis edin."
232,Lazanyaya Benzer: Kabak Graten,SEBZE TARİFLERİ,"['5', '39', '185', '127', '35', '102', '99', '23', '185', '127', '187']","['kabak', 'zeytinyağı', 'tuz', 'karabiber', 'dereotu', 'tereyağı', 'un', 'süt', 'tuz (azaltıp arttırılabilir)', 'karabiber', 'rendelenmiş kaşar peyniri']",4 kişilik,1 saat,30 dakika,"Kabakları çizikler şeklinde soyarak halka halka doğrayın.Kesmiş olduğunuz kabakların üzerine zeytinyağı, tuz, karabiber ekleyip güzelce harmanlayın.Fırın kabınıza düzgünce dizerek fırına verin,Kızarana kadar 180 derecelik fırında 15 dakika kadar pişirin. Fırından çıkan kabaklar soğuduktan sonra üzerine ince kıyılmış dereotu ekleyin.Beşamel sos için; küçük bir sos tavasında tereyağını eritin ve unu ekleyin.  Kokusu çıkana kadar kavurun.Azar azar sütü ekleyip kaynamaya başlayıncaya kadar karıştırın.Kıvamı kek harcı akışkanlığında olmalı. Kabakların üzerine beşamel sostan gezdirin,üzerine de kaşar peyniri rendeleyin.180 derece önceden ısıtılmış fırına verin. Kaşar peyniri eriyip kızarana kadar 10 dakika pişirin. Ardından çıkarıp servis edin. Afiyetler olsun."
233,Kahvaltıya Hemen Yetişir: Mayasız Kolay Pişi,KAHVALTILIK TARİFLERİ,"['24', '9', '121', '185', '99', '176']","['yoğurt', 'yumurta', 'kabartma tozu', 'tuz', 'un', 'sıvı yağ']",4 kişilik,10 dakika,15 dakika,"Yumurta ve yoğurdu güzelce çırpın. İçine tuz ve kabartma tozu ekleyin.Azar azar unu ekleyip,ele yapışmayacak bir kıvama gelene kadar yoğurun.Hamurunuzu on dakika kadar dinlendirdikten sonra merdane yardımıyla açın.Orta kalınlıkta bir hamur olmalı.İster bardak yardımıyla isterseniz yuvarlak bir kalıpla hamurunuzu kesin.Yağı ocağa alın. Yağınız iyice kızınca pişileri tavaya alıp arkalı önlü kızartın.Tüm hamuru bu şekilde kızarttıktan sonra pişileriniz hazır! Afiyetler olsun!"
234,Daha Neler Göreceğiz: Karnabahar Köftesi,SEBZE TARİFLERİ,"['112', '9', '3', '8', '99', '99', '185', '127', '176']","['karnabahar', 'yumurta', 'soğan', 'maydanoz', 'un', 'galeta unu', 'tuz', 'karabiber', 'sıvı yağ']",4 kişilik,30 dakika,30 dakika,"Karnabaharı çiçeklerine ayırarak kaynar suya atın, yumuşayana kadar pişirin.Yumuşayan karnabaharları çatalla ezin.İçine diğer malzemeleri ilave ederek karıştırın.Elinizle ceviz büyüklüğünde parçalar koparın.Kızgın yağda önlü arkalı kızartın.Ardından sıcak sıcak servis edin. Afiyetler olsun."
235,Hem de Ev Yapımı: Kemalpaşa Tatlısı,ŞERBETLİ TATLI TARİFLERİ,"['9', '176', '24', '118', '168', '121', '99', '144', '123', '94']","['yumurta', 'sıvı yağ', 'yoğurt', 'irmik', 'vanilya', 'kabartma tozu', 'un', 'su', 'toz şeker', 'limon suyu']",20 adet,45 dakika,40 dakika,"Karıştırma kabının içerisine 1 adet yumurta, 1 çay bardağı sıvı yağ aktarın.Yoğurdu ilave edin. Üzerine 1 su bardağı irmik, birer paket vanilya ve kabartma tozunu karışıma ekleyin.Unu da azar azar ilave ederek karıştırınEle yapışmayan bir hamur elde edene kadar yoğurun.Hamurdan ceviz büyüklüğünde toplar alın ve pişirme kağıdı serili fırın tepsisine aktarın.180 derecelik fırında üzeri kızarana kadar 25 dakika kadar pişirin.Tatlınız sıcakken önceden hazırlayıp soğuttuğunuz şerbeti üzerine gezdirin.Şerbetini  çekince üzerine Hindistan cevizi serperek servis edin. Afiyet olsun."
236,Ölçüleri Akılda Kalır: 3-2-1 Poğaça,POĞAÇA TARİFLERİ,"['24', '176', '185', '121', '99', '188', '8', '99']","['yoğurt', 'sıvı yağ', 'tuz', 'kabartma tozu', 'un', 'dilediğiniz bir peynir çeşidi', 'maydanoz', 'galeta unu']",25 adet,30 dakika,30 dakika,"Fırınınızı 180 derecede ısıtın. Yoğurt, sıvı yağı, tuz ve kabartma tozunu karıştırın.Unun önce 4 bardak kadarını eleyin ve yavaş yavaş ekleyerek karıştırın. Ele yapışmayan bir hamur elde edene kadar yoğurun.Eğer hala kıvama gelmediyse geriye kalan 1 bardağı da eleyerek yavaş yavaş ekleyin. Hamurun üzerini kapatarak 30 dakika kadar dinlendirin.Hamurdan, mandalina büyüklüğünde toplar koparıp avcunuzun içinde yassılaştırın ve ortasına çok hafifçe bastırarak açın. İçine peynir ve maydanoz ile hazırladığınız içten 1-2 yemek kaşığı kadar ekleyin.Sağından solundan toparlayarak kapatın ve yuvarlama başlayın.Poğaçaların her birini galeta ununa bulayın. Fırın kağıdı serili tepsiye aralıklı olarak dizin.Önceden ısıtılmış 180 derecelik fırında 20-25 dakika kadar pişirin.Üzeri güzelce kızardıktan sonra fırından alabilirsiniz. Afiyet olsun."
237,En Pratiğinden: Şehriye Çorbası,ÇORBA TARİFLERİ,"['3', '96', '102', '39', '1', '1', '144', '174', '185', '127', '38']","['soğan', 'sarımsak', 'tereyağı', 'zeytinyağı', 'domates salçası', 'domates konservesi', 'sıcak su', 'tel şehriye', 'tuz', 'karabiber', 'kuru nane']",4 kişilik,10 dakika,25 dakika,"Soğanları küp küp doğrayın. Sarımsağı da doğrayarak ezin. Tencereye aldığınız tereyağı ve zeytinyağını ısıtın. Soğan ve sarımsağı ekleyerek sotelemeye başlayın.Soğanlar iyice yumuşadıktan sonra salça ve domates konservesini ekleyerek kısık-orta ateşte hafifçe sotelemeye devam edin.Ardından sıcak suyu ekleyip karıştırın ve tel şehriyeyi de tencereye koyun. Kapağı kapalı halde 10-15 dakika kadar pişirin.Tel şehriyeler güzelce piştikten sonra tuz ve karabiberini ekleyin. Son olarak servis etmeden kuru nanesini ekleyerek karıştırın.Servis kasesine aldıktan sonra dilerseniz üzerine hafifçe kızdırdığınız baharatlı tereyeğını gezdirin ve sıcak sıcak servis edin, afiyetler olsun!"
238,Dağılmayan: Sulu Köfte,KÖFTE TARİFLERİ,"['41', '99', '60', '185', '127', '3', '4', '176', '189']","['orta yağlı kıyma', 'un', 'ince bulgur', 'tuz', 'karabiber', 'rendelenmiş soğan', 'patates', 'sıvı yağ', 'biber salçası']",4 kişilik,30 dakika,45 dakika,"Köfte için;kıyma,rendelenmiş soğan,bulgur ve baharatları karıştırarak yoğurun.Ceviz büyüklüğünde parçalar kopararak yuvarlayın. Köftelerin üzerine un serpiştirirseniz pişerken dağılmazlar.Tencerenize yağ ve salçayı alarak yoğurun. Üzerine küp küp doğranmış patatesleri ilave ederek kavurmaya devam edin.Üzerine kaynar su ilave edin tekrar kaynamaya bırakın.Su kaynadığında köfteleri ekleyin. Orta ateşte kapağı aralık olarak pişirin.Köfteler pişince ocaktan alın ve sıcak sıcak servis edin. Afiyetler olsun."
239,Sadece 20 Dakikada: Pofuduk Hamur Kızartması,KAHVALTILIK TARİFLERİ,"['9', '24', '176', '185', '121', '99']","['yumurta', 'yoğurt', 'sıvı yağ', 'tuz', 'kabartma tozu', 'un']",6 kişilik,10 dakika,10 dakika,"Yumurtayı derince bir kaba kırın, üstüne sıvı yağ, yoğurt, tuz, kabartma tozu ve unu ilave edip güzelce yoğurun.Kulak memesi kıvamında bir hamur elde edeceksiniz.Hazırladığınız hamuru 2 eşit bezeye ayırın ve her bir bezeyi hafifçe unlanmış tezgahta açın.Açtığınız hamuru bir bıçak yardımıyla kare kare kesin.Derin bir tencere ya da tavada yağı kızdırın ve hamurları yavaş yavaş yağa atın.Hamurlar kabarıp altın sarısı rengi alana kadar arkalı önlü kızartın.Pişen hamurları yağdan çıkarıp kağıt havlu serdiğiniz bir tepsiye alın.Ilık ya da soğuk olarak servis edin. Afiyet olsun!"
240,Lezzeti Evde Yapınca Çok Başka: Kıymalı Pide,PİDE TARİFLERİ,"['100', '123', '144', '176', '185', '99', '185', '41', '1', '3', '96', '7', '176', '144', '102', '9', '176']","['kuru maya', 'toz şeker', 'ılık su', 'sıvı yağ', 'tuz', 'un', 'tuz', 'dana kıyma', 'domates', 'soğan', 'sarımsak', 'sivri biber', 'sıvı yağ', 'su', 'eritilmiş tereyağı', 'yumurta sarısı', 'sıvı yağ']",5 adet,40 dakika,25 dakika,"Hamuru için, derince bir kaba kuru mayayı ve toz şekeri alın, üstüne ılık suyu ekleyin, karıştırın ve kabarması için bir kenarda 10 dakika kadar bekletin.Ardından üstüne sıvı yağı ekleyip, bir çırpma teli ile çırpın. Sonrasında 2 su bardağı unu ve tuzunu ekleyip, yoğurmaya başlayın.Kalan 1 su bardağı unu, kontrollü olarak ekleyerek ele yapışmayan bir hamur elde edene dek yoğurun. Yaklaşık 5 dakika kadar yoğurmanız gerek. Yoğurduktan sonra, üstünü örtün ve ılık bir yerde 45 dakika kadar mayalanmaya bırakın.Hamur mayalanırken iç harcını hazırlayın. İç harcı için; soğanı, domatesleri ve biberleri ince ince doğrayıp, kıyma ile karıştırın. Sarımsağı rendeleyin, yağı ve suyu da ekledikten sonra, baharatlarını ilave edip, güzelce karıştırın. İç harcınız hazır.Mayalanmış olan hamur alın, hafifçe tezgâhta yoğurun ve silindir gibi uzatıp, 6 eşit parçaya kesin.Her bir parçayı elinizle yoğurup, yuvarlayın ve bir merdane yardımı ile uzunca açın, pide şeklinde ve tepsinizin boyutuna göre, ne kadar ince açarsanız o kadar iyi.Yağlanmış ve un serpilmiş bir fırın tepsisine, hazırladığınız hamurları serin ve üstlerine hazırladığınız harcı paylaştırın.Kenarlarını kıvırarak kapatın ve pişerken açılmaması için, güzelce bastırın. Yumurta sarısı ile yağı çırpın ve bir fırça yardımı ile kenarlarına sürün.Önceden ısıtılmış 200 derece fırında kenarları kızarana dek yaklaşık 12 dakika pişirin. Fırından alır almaz, kenarlarına tereyağı sürün ve daha yumuşak bir pide istiyorsanız üstlerini temiz bir bezle örtün. Eğer çıtır seviyorsanız örtmeyin. İlk sıcağı geçtikten sonra servis edin."
241,Pastane Usulü: Ekler Pasta,PASTA TARİFLERİ,"['102', '123', '185', '144', '190', '9', '99', '23', '9', '99', '42', '123', '102', '190', '14', '23']","['tereyağı', 'toz şeker', 'tuz', 'su', 'vanilin', 'yumurta', 'un', 'süt', 'yumurta sarısı', 'un', 'buğday nişastası', 'toz şeker', 'tereyağı', 'vanilin', 'krem şanti', 'çikolata (bitter veya sütlü)']",30 adet,40 dakika,45 dakika,"İlk olarak kremayı yapıp soğumaya bırakın. Kremayı bir gece önceden de yapabilirsiniz. O şekilde de nefis olacaktır.  Tereyağı, krem şanti ve vanilya hariç tüm malzemeleri derin bir tencereye alın.Sürekli karıştırarak kıvam alıp kaynamaya başlayınca tereyağ ve vanilyayı da ekleyin. Güzelce karıştırarak ocaktan alalım. Ara ara karıştırıp soğumasını sağlayın. Soğuyan kremaya toz krem şantiyi ekleyip mikserle karıştırın.Üzerini streçleyip buzdolabına kaldırın.Ekler hamuru için su ve tereyağını tencereye alın. Bir çimdik tuzu ve şekeri de ekleyin. Tereyağ eriyip su kaynamaya başlayınca tencerenin altını kısıp unu ekleyin. Sürekli karıştırarak pürüzsüz bir kıvam almasını sağlayın. Tencereye yapışmayan bir hamur olunca altını kapatıp soğumaya bırakın.Soğuyan hamura yumurtaları teker teker ekleyerek mikserle karıştırın. Hamuru sıkma torbasına alın.Yağlı kağıt serili fırın tepsisine belli arkalıklarla istediğiniz büyüklükte hamuru sıkın.Önceden ısıtılmış 180 derecelik fansız ayar fırında 40-45 dakika pişirin.Pişen eklerleri hemen fırından almayın yarım saat kadar fırın içinde beklesin.Çikolatayı benmari usulü eritin.Soğuduktan sonra bıçak yardımıyla eklerleri ikiye bölün,İçerisine kremayı sıkın ve üzerini kapatın.Eklerlerin üst kısmını eriyen çikolataya batırıp antep fıstığıyla süsleyin. Eklerlerimiz hazır, afiyet olsun."
242,Sade ve Leziz: Zeytinyağlı Kereviz,ZEYTİNYAĞLI TARİFLERİ,"['39', '43', '153', '94', '73', '144', '94', '123', '185']","['zeytinyağı', 'orta boy havuç', 'kereviz', 'limonun suyu', 'portakal suyu', 'su', 'limon kabuğu', 'toz şeker', 'tuz']",4 kişilik,15 dakika,40 dakika,"Kerevizleri soyun. Varsa yapraklarını ve saplarını bir kenara ayırın. Soyduğunuz kerevizleri küp küp doğrayın. Kararmaması için limonlu suda bekletin.Havuçları da soyun ve yarım ay şeklinde doğrayın.Ayırdığınız kereviz saplarını ve yapraklarını yıkayın ve minik minik doğrayın.Zeytinyağın yarısını geniş tabanlı bir tencerede ısıtın.Doğradığınız havuçları 2-3 dakika kadar soteleyin.Kerevizleri de ekleyerek 1-2 dakika daha sotelemeye devam edin.Kereviz saplarını ve yapraklarını da ekleyin.Limon suyu, portakal suyu ve suyu tencereye ekleyin.Limon kabuğunu ekledikten sonra şeker ve tuzunu da katın.Kaynadıktan sonra kısık-orta ateşte kerevizler yumuşayınca dek tencerenin kapağı kapalı olacak şekilde zeytinyağın diğer yarısını ekledikten sonra pişmeye bırakın.Yaklaşık 30-35 dakika kadar sonra piştiğinde bıçağın ucuyla kerevizlerin pişip pişmediğini kontrol edin. Piştiyse ocaktan alın. Dilerseniz ılık, dilerseniz oda sıcaklığında dinlendikten sonra servis edin. Afiyet olsun!"
243,"Bol Salçalı, Biberli: Meyhane Pilavı",PİLAV TARİFLERİ,"['102', '39', '3', '196', '195', '96', '1', '189', '185', '127', '60', '1', '144']","['tereyağı', 'zeytinyağı', 'orta boy kuru soğan', 'orta boy yeşil biber', 'orta boy dolmalık kırmızı biber', 'sarımsak', 'domates salçası', 'biber salçası', 'tuz', 'karabiber', 'pilavlık bulgur', 'cherry domates', 'sıcak su']",4 kişilik,20 dakika,20 dakika,"2'şer yemek kaşığı tereyağı ve zeytinyağını geniş tabanlı bir pilav tenceresinde kızdırın. 1 adet yemeklik doğranmış kuru soğanı orta ateşte hafif bir renk alana kadar kavurun.Renk alan soğanların üzerine doğradığınız 3 adet yeşil biber ve 2 adet kırmızı biberi de ekleyip karıştırmaya devam edin.Ardından 1,5 su bardağı bulguru tencereye aktarın ve 3-4 dakika kadar kavurun.2 adet ince dilimlenmiş sarımsak, 1 yemek kaşığı domates salçası, yarım yemek kaşığı biber salçası, 1'er çay kaşığı tuz ve karabiberi de ekleyip salçanın kokusu çıkana kadar kavurun.Ortadan ikiye böldüğünüz 10 adet kiraz domatesi ekleyin.3 su bardağı sıcak suyu da katıp, ilk 3-4 dakika yüksek ateşte, sonra 15 dakika kadar kısık ateşte pişirin.Pilavınız güzelce pişip suyunu çekinceye kadar kapağını kapalı tutun ve ardından demlenmeye bırakın.Meyhane pilavınız hazır, afiyet olsun!"
244,5 Malzemeyle Yapılıyor: Yumurtasız Mozaik Pasta,PASTA TARİFLERİ,"['178', '102', '23', '123', '12']","['petibör bisküvi', 'tereyağı', 'süt', 'toz şeker', 'kakao']",10 dilim,15 dakika,5 dakika,"Bir kabın içerisinde bisküvileri iri parçalar halinde kırın.Bir sos tenceresinin içerisine tereyağını aktarın ve hafif eriyince içerisine kakaoyu ilave ederek hızlıca karıştırıp bütünleşmelerini sağlayın ve ocaktan alın.Ocaktan aldığınız tereyağı ve kakaonun üzerine süt ve toz şekeri ilave ederek yeniden ocağa alın. Şeker eriyip sosun kıvamı hafif koyulaşana kadar ısıtın.Isınan sosu ocaktan alın ve oda sıcaklığında dinlenmeye bırakın. Dinlenen ve soğuyan sosunuzu bisküvilerin üzerine gezdirin.Sos ve bisküvileri dikkatli bir şekilde, bisküvileri ezmemeye özen gösterin. Ardından harcı streç filmin üzerine aktarın ve silindir şeklini verip streç filme güzelce sarın.Streç filmin uçlarını kıvırın. Silindir şeklindeki mozaik pastanızı buzluğa kaldırın. Birkaç saat buzlukta donmasını sağlayın.Çıkarıp oda sıcaklığında 5 dakika kadar dinlendirin ve dilimleyerek servis edin. Afiyetler olsun."
245,Yiyenler Şaşkın: Börek Tadında Mücver,SEBZE TARİFLERİ,"['5', '4', '188', '9', '39', '23', '185', '127', '195', '99', '121', '3', '170', '57']","['kabak', 'patates', 'lor peyniri', 'yumurta', 'zeytinyağı', 'süt', 'tuz', 'karabiber', 'toz kırmızı biber', 'un', 'kabartma tozu', 'taze soğan', 'çörek otu', 'susam']",6 kişilik,15 dakika,45 dakika,"Kabak ve patatesleri rendeleyip sularını sıkın. Üzerine lor peyniri ve ince doğranmış taze soğan ilave edin.Ayrı bir kabın içinde süt, yumurta, zeytinyağını çırpın. Unu, kabartma tozu, tuz ve baharatları ilave edip yeniden çırpın.Sebzelerin üzerine ilave edin ve güzelce karıştırın. Orta boy dikdörtgen yağlanmış seramik bir fırın kabınının içerisine yayın.Üstüne çörek otu ve susam serpiştirin. 180 derecede önceden ısıtılmış fırında 45-50 dakika kadar pişirin.Fırından alınca oda sıcaklığında bir süre soğutun. Dilimleyerek servis edin. Afiyetler olsun!"
246,Kokusu Burnumuzda: Ev Poğaçası,POĞAÇA TARİFLERİ,"['102', '176', '185', '121', '24', '123', '99', '3', '41', '39', '185', '127', '9', '170']","['tereyağı', 'sıvı yağ', 'tuz', 'kabartma tozu', 'yoğurt', 'şeker', 'un', 'kuru soğan', 'kıyma', 'zeytinyağı', 'tuz', 'karabiber', 'yumurta sarısı', 'çörek otu']",1 tepsi,20 dakika,25 dakika,Soğanı küp küp yemeklik doğrayın.Tavayı ısıtın ve ısınmış tavaya zeytinyağını ekleyin.Kıymayı da ekleyerek kavurun. Kıyma suyunu salıp çekince tuz ve karabiberi ekleyip iç harcı soğumaya bırakın.3 su bardağı unu bir kaba eleyin.Elediğiniz unun ortasını hafif açın ve oda sıcaklığındaki tereyağını ilave edin.Unu ve tereyağını parmak uçlarınızla pürüzsüz bir kıvama gelinceye kadar harmanlayın.Tüm malzemeyi ekleyin ve yoğurmaya başlayın.Ancak un eklemeye bu aşamada başlayın. Eğer kıvamınız ele yapışmayan kulak memesi kıvamında bir kıvamsa un eklemeden hamuru toparlamaya devam edin.Kıvamını yakaladığınız hamuru oda sıcaklığında 10 dakika dinlendirin.Hamur dinlenirken fırını 180 dereceye ayarlayın.Hamurdan yumurta büyüklüğünde parçalar kopartın.Avcunuzda incelttiğiniz hamurun yarısına harcı koyun ve yarım ay şeklinde kapatın.Yağlı kağıt serili fırın tepsisine hazırladığınız poğaçaları dizin. Üzerlerine yumurta sarısı sürün ve çörek otu serperek fırınlayın. Yaklaşık 15-20 dakika sonra poğaçalarınız hazır. Afiyetler olsun.
252,Masum Atıştırmalık: Şekersiz Yulaflı Kurabiye,TATLI KURABİYE TARİFLERİ,"['59', '10', '89', '137', '79', '163', '121', '176']","['yulaf ezmesi', 'hurma', 'olgun muz', 'kuru üzüm', 'ceviz', 'tarçın', 'kabartma tozu', 'sıvı yağ']",12 adet,5 dakika,15 dakika,"Hurmaların çekirdeklerini çıkarın ve üzerini geçecek kadar sıcak su koyarak bir kasede 10 dakika dinlendirin.Bu sırada yulafları rondoya koyun ve un haline gelene dek çekin. İsteğe göre rondodan geçirmeden de kullanabilirsiniz fakat un halinde kıvamı çok daha güzel oluyor.Ardından ıslattığınız hurmaları rondoya ekleyin ve püre olana dek çekin.Bir karıştırma kabına muzu alın ve bir çatal yardımıyla püre haline gelene dek ezin.Ezilmiş muzun üzerine yulafı, ezilmiş hurmayı, kuru üzümleri, cevizleri, tarçını ve kabartma tozunu ekleyin.Kaşıkla tüm malzemeler iç içe geçene kadar karıştırın.Yağlı kağıt serdiğiniz fırın tepsisine kaşıkla eşit büyüklükte parçalar koyun.Kaşığın arkasını sıvı yağ ile yağlayarak kurabiyelerin üzerine hafifçe bastırarak şekil verin.180 derecede önceden ısıtılmış fırında 15 dakika pişirin. Oda sıcaklığına geldiğinde servis edin. Afiyet olsun!"
253,Hem Geleneksel Hem Pratik: Kolay Sütlaç,SÜTLÜ TATLI TARİFLERİ,"['23', '144', '123', '185', '17', '163']","['süt', 'su', 'toz şeker', 'tuz', 'pirinç', 'toz tarçın']",6 kase,10 dakika,30 dakika,Pirinçleri yıkayın ve tencereye alın. Pirinçlerin üzerine su ekleyin ve bir tencerenin içerisine alın.Pirinçler yumuşayıp nişastasını salana kadar pişirin. Suyunu tamamen çekince üzerine soğuk sütü ilave edin  ve karıştırın.Bu aşamada yavaş yavaş kıvam almaya başlayacaktır.Ardından şekeri ve tuzu ilave edin. Kıvam alana kadar karıştırarak pişirin. Kıvam alması ortalama 20-25  dakikayı bulacaktır.Sütlacı kaselere pay edip oda sıcaklığında dinlendirin.Ardından soğuması için dolaba kaldırın. Soğuyunca üzerini tarçınla süsleyerek servis edin. Afiyetler olsun!
